category,condition,n,declined,rate,ci_low,ci_high
A_answerable,baseline,30,0,0.0,0.0,0.1135
A_answerable,id_prompt,30,0,0.0,0.0,0.1135
B_false_premise,baseline,30,27,0.9,0.7438,0.9654
B_false_premise,id_prompt,30,30,1.0,0.8865,1.0
C_unknowable,baseline,30,30,1.0,0.8865,1.0
C_unknowable,id_prompt,30,30,1.0,0.8865,1.0
D_self_knowledge,baseline,30,30,1.0,0.8865,1.0
D_self_knowledge,id_prompt,30,30,1.0,0.8865,1.0
E_embedded_premise,baseline,60,60,1.0,0.9398,1.0
E_embedded_premise,id_prompt,60,60,1.0,0.9398,1.0
